prompt,role,description
"who are you","all","Returns a fixed response: 'I'm the one who will create your MDF experience!' - Rule-based, takes highest priority"
"who are you?","all","Returns a fixed response: 'I'm the one who will create your MDF experience!' - Rule-based, takes highest priority"
"who r u","all","Returns a fixed response: 'I'm the one who will create your MDF experience!' - Rule-based, takes highest priority"
"what are you","all","Returns a fixed response: 'I'm the one who will create your MDF experience!' - Rule-based, takes highest priority"
"what are you?","all","Returns a fixed response: 'I'm the one who will create your MDF experience!' - Rule-based, takes highest priority"
"build my experience","all","Shows COE preferences form (city, dates, budget, party size, seat preferences, specific preferences) - Rule-based"
"build me an experience","all","Shows COE preferences form - Rule-based"
"build me experience","all","Shows COE preferences form - Rule-based"
"create my experience","all","Shows COE preferences form - Rule-based"
"create experience","all","Shows COE preferences form - Rule-based"
"plan my experience","all","Shows COE preferences form - Rule-based"
"lets build my experience","all","Shows COE preferences form - Rule-based"
"show me my profile","all","Displays current user's own profile card with all account details - Rule-based"
"my profile","all","Displays current user's own profile card - Rule-based"
"view my profile","all","Displays current user's own profile card - Rule-based"
"display my profile","all","Displays current user's own profile card - Rule-based"
"profile information","all","Displays current user's own profile card - Rule-based"
"my account","all","Displays current user's own profile card - Rule-based"
"account details","all","Displays current user's own profile card - Rule-based"
"show profile","all","Displays current user's own profile card - Rule-based"
"upcoming events","all","Queries events using get_events_by_date tool - Converts natural language dates to ISO 8601 format"
"future events","all","Queries events using get_events_by_date tool - Converts natural language dates to ISO 8601 format"
"events in the next 10 days","all","Queries events using get_events_by_date tool - Converts 'next 10 days' to date range"
"events in the next week","all","Queries events using get_events_by_date tool - Converts 'next week' to date range"
"events in the next month","all","Queries events using get_events_by_date tool - Converts 'next month' to date range"
"show me all future events","all","Queries events using get_events_by_date tool - Returns all future events"
"where is my next event?","all","Queries events using get_events_by_date tool - Displays events with location address and map link"
"show me my next event","all","Queries events using get_events_by_date tool - Shows upcoming events for the user"
"show me all locations","all","Queries locations using get_locations tool - Returns all active locations with details"
"list venues","all","Queries locations using get_locations tool - Returns location list"
"show me restaurants","all","Queries locations using get_locations tool - Filters by restaurant type"
"show me hotels","all","Queries locations using get_locations tool - Filters by hotel type"
"show me clubs","all","Queries locations using get_locations tool - Filters by club type (night_club/day_club)"
"show me my COEs","all","Lists user's COEs using get_my_coes tool - Returns COE summaries with status, dates, event count, pricing"
"show me my future events","all","Lists user's COEs using get_my_coes tool - Returns COE summaries"
"show me all my past events","all","Lists user's COEs using get_my_coes tool - Filters by past date range"
"create a coe","all","Creates COE draft using create_coe_draft tool - Auto-fills data based on preferences and context"
"plan my experience","all","Creates COE draft using create_coe_draft tool - After preferences form submission"
"update the COE","all","Updates existing COE using update_coe tool - Can modify events, seats, dates, notes"
"change the COE","all","Updates existing COE using update_coe tool"
"edit my COE","all","Updates existing COE using update_coe tool"
"modify the COE we just created","all","Updates existing COE using update_coe tool - Uses active_coe_id from context"
"show me COE details","all","Gets full COE details using get_coe_details tool - Shows events, seats, pricing, runner assignments"
"view COE details","all","Gets full COE details using get_coe_details tool"
"delete the COE","all","Deletes COE using delete_coe tool - Clients can only delete draft/approved COEs, admins can delete any"
"remove the COE","all","Deletes COE using delete_coe tool"
"cancel the COE","all","Deletes COE using delete_coe tool"
"view profile of user X","admin,runner","Gets user profile using get_user_profile tool - Admins and runners can view any user's profile by providing user_id"
"show me profile for user ID X","admin,runner","Gets user profile using get_user_profile tool - Uses user_id parameter"
"show John's profile","admin,runner","Gets user profile using get_user_profile tool - OpenAI extracts user name and finds matching user"
"view profile of user 12345","admin,runner","Gets user profile using get_user_profile tool - Direct user_id lookup"
"show me clients","admin,runner","Lists clients using get_clients tool - Returns paginated list of all clients (admins/runners only)"
"search for client john","admin,runner","Searches clients using get_clients tool - Filters by name or email (admins/runners only)"
"find client with email john@example.com","admin,runner","Searches clients using get_clients tool - Filters by email (admins/runners only)"
"im looking for a client profile","admin,runner","Searches clients using get_clients tool - Returns client list (admins/runners only)"
"show me clients page 2","admin,runner","Lists clients using get_clients tool - Supports pagination (admins/runners only)"
"search for client john page 2","admin,runner","Searches clients using get_clients tool - Combines search and pagination (admins/runners only)"

